ko,name,taxonomy
"fnu","Fusobacterium nucleatum","Bacteria; Fusobacteria; Fusobacteriales; Fusobacteriaceae; Fusobacterium"
"tde","Treponema denticola","Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Treponema"
"tpk","Treponema putidum","Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Treponema"
"trm","Treponema sp. OMZ 838","Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Treponema; unclassified Treponema"
"ols","Olsenella uli","Bacteria; Actinobacteria; Coriobacteriia; Coriobacteriales; Atopobiaceae; Olsenella"
"ccu","Cryptobacterium curtum","Bacteria; Actinobacteria; Coriobacteriia; Eggerthellales; Eggerthellaceae; Cryptobacterium"
"T40100","Human mastadenovirus B","Viruses; Varidnaviria; Bamfordvirae; Preplasmiviricota; Tectiliviricetes; Rowavirales; Adenoviridae; Mastadenovirus"
"T40102","Human mastadenovirus D","Viruses; Varidnaviria; Bamfordvirae; Preplasmiviricota; Tectiliviricetes; Rowavirales; Adenoviridae; Mastadenovirus"
"T40101","Human mastadenovirus E","Viruses; Varidnaviria; Bamfordvirae; Preplasmiviricota; Tectiliviricetes; Rowavirales; Adenoviridae; Mastadenovirus"
"ser","Staphylococcus epidermidis","Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus"
"T40005","Junin mammarenavirus","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Arenaviridae; Mammarenavirus"
"T40048","Dengue virus","Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus"
"T40029","West Nile virus","Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus"
"T40049","Zika virus","Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus"
"T40026","Chikungunya virus","Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Alsuviricetes; Martellivirales; Togaviridae; Alphavirus"
"T40032","Mayaro virus","Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Alsuviricetes; Martellivirales; Togaviridae; Alphavirus"
"T40071","Ross River virus","Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Alsuviricetes; Martellivirales; Togaviridae; Alphavirus"
"T40030","Rift Valley fever virus","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Phenuiviridae; Phlebovirus"
"T40031","Bunyamwera virus","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus"
"aje","Histoplasma capsulatum","Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; Ajellomycetaceae; Histoplasma"
"T40344","Poliovirus 1","Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Picornaviridae; Enterovirus; Enterovirus C"
"T40345","Poliovirus 2","Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Picornaviridae; Enterovirus; Enterovirus C"
"T40346","Poliovirus 3","Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Picornaviridae; Enterovirus; Enterovirus C"
"T40035","Influenza A virus (A/Puerto Rico/8/1934(H1N1))","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus"
"T40036","Influenza A virus (A/Korea/426/1968(H2N2))","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus"
"T40037","Influenza A virus (A/New York/392/2004(H3N2))","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus"
"T40038","Influenza A virus (A/Hong Kong/1073/99(H9N2))","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus"
"T40039","Influenza B virus","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Betainfluenzavirus"
"T40040","Influenza C virus (C/Ann Arbor/1/50)","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Gammainfluenzavirus"
"bbs","Borrelia bissettii","Bacteria; Spirochaetes; Spirochaetales; Borreliaceae; Borreliella"
"bmay","Borrelia mayonii","Bacteria; Spirochaetes; Spirochaetales; Borreliaceae; Borreliella"
"T40073","Human herpesvirus 1","Viruses; Duplodnaviria; Heunggongvirae; Peploviricota; Herviviricetes; Herpesvirales; Herpesviridae; Alphaherpesvirinae; Simplexvirus"
"T40074","Human herpesvirus 2","Viruses; Duplodnaviria; Heunggongvirae; Peploviricota; Herviviricetes; Herpesvirales; Herpesviridae; Alphaherpesvirinae; Simplexvirus"
"T40046","Hendra virus","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Paramyxoviridae; Orthoparamyxovirinae; Henipavirus"
"T40047","Nipah virus","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Paramyxoviridae; Orthoparamyxovirinae; Henipavirus"
"gbr","Gordonia bronchialis","Bacteria; Actinobacteria; Corynebacteriales; Gordoniaceae; Gordonia"
"T40034","Mumps virus","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Paramyxoviridae; Rubulavirinae; Orthorubulavirus"
"gla","Giardia lamblia","Eukaryota; Metamonada; Diplomonadida; Hexamitidae; Giardiinae; Giardia"
"ctu","Cronobacter turicensis","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Cronobacter"
"cal","Candida albicans","Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Debaryomycetaceae; Candida/Lodderomyces clade; Candida"
"cdu","Candida dubliniensis","Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Debaryomycetaceae; Candida/Lodderomyces clade; Candida"
"ctp","Candida tropicalis","Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Debaryomycetaceae; Candida/Lodderomyces clade; Candida"
"cgr","Candida glabrata","Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; Nakaseomyces; Nakaseomyces/Candida clade"
"pgu","Meyerozyma guilliermondii","Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Debaryomycetaceae; Meyerozyma"
"caur","Candida auris","Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Metschnikowiaceae; Clavispora; Clavispora/Candida clade"
"bbr","Bordetella bronchiseptica","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Bordetella"
"bhz","Bordetella hinzii","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Bordetella"
"hav","Hafnia alvei","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Hafniaceae; Hafnia"
"vfu","Vibrio furnissii","Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio"
"T40020","Sin Nombre virus","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Hantaviridae; Mammantavirinae; Orthohantavirus"
"T40021","Andes virus","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Hantaviridae; Mammantavirinae; Orthohantavirus"
"T40358","Bayou virus","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Hantaviridae; Mammantavirinae; Orthohantavirus"
"cgi","Cryptococcus gattii","Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Cryptococcaceae; Cryptococcus; Cryptococcus gattii species complex"
"T40041","Influenza A virus (A/goose/Guangdong/1/1996(H5N1))","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus"
"T40350","Influenza A virus (A/Shanghai/02/2013(H7N9))","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus"
"ovi","Opisthorchis viverrini","Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Platyhelminthes; Trematoda; Digenea; Opisthorchiida; Opisthorchiata; Opisthorchiidae; Opisthorchis"
"lst","Leptospira santarosai","Bacteria; Spirochaetes; Leptospirales; Leptospiraceae; Leptospira"
"lkm","Leptospira kmetyi","Bacteria; Spirochaetes; Leptospirales; Leptospiraceae; Leptospira"
"kqu","Klebsiella quasipneumoniae","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella"
"ear","Klebsiella aerogenes","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella"
"kqv","Klebsiella quasivariicola","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella"
"klw","Klebsiella sp. WCHKl090001","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella"
"ctc","Clostridium tetani","Bacteria; Firmicutes; Clostridia; Eubacteriales; Clostridiaceae; Clostridium"
"rsv","Rickettsia slovaca","Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Rickettsiaceae; Rickettsieae; Rickettsia; spotted fever group"
"btk","Bacillus thuringiensis","Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group"
"elh","Escherichia coli O78:H11","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia"
"ecw","Escherichia coli O139:H28","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia"
"gbe","Granulibacter bethesdensis","Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Granulibacter"
"T40081","Human herpesvirus 8 (KSHV)","Viruses; Duplodnaviria; Heunggongvirae; Peploviricota; Herviviricetes; Herpesvirales; Herpesviridae; Gammaherpesvirinae; Rhadinovirus"
"T40086","Simian virus 40 (SV40)","Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Sepolyvirales; Polyomaviridae; Betapolyomavirus"
"pfib","Pandoraea fibrosis 6399","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Pandoraea"
"eab","Escherichia coli ABU 83972","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia"
"hif","Haemophilus influenzae biogroup aegyptius","Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus"
"lhk","Laribacter hongkongensis HLHK9","Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae; Laribacter"
"T40089","Human papillomavirus types 5","Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus"
"mao","Mycobacterium avium subsp. paratuberculosis","Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium avium complex (MAC)"
"cvi","Chromobacterium violaceum ATCC 12472","Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae; Chromobacterium"
"ecu","Encephalitozoon cuniculi","Eukaryota; Fungi; Fungi incertae sedis; Microsporidia; Unikaryonidae; Encephalitozoon"
"ein","Encephalitozoon intestinalis","Eukaryota; Fungi; Fungi incertae sedis; Microsporidia; Unikaryonidae; Encephalitozoon"
"ssp","Staphylococcus saprophyticus","Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus"
"mlen","Mammaliicoccus lentus","Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Mammaliicoccus"
"plf","Pantoea ananatis","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Erwiniaceae; Pantoea"
